step,return,length,success
49152,-2.3250046,753.5,1.0
65536,-5.730609,978.1875,0.15625
81920,-4.936514,894.8055555555555,0.25
98304,-3.49354,753.12,0.46
114688,-2.4389286,638.76,0.58
131072,-0.9081601,500.75,0.85
147456,-1.218212,534.05,0.84
163840,-1.4532149,549.44,0.79
180224,-0.97595996,495.39,0.86
196608,-0.96081,491.15,0.84
212992,-0.768559,469.73,0.85
229376,-0.6311099,445.17,0.84
245760,-0.6870601,447.04,0.84
262144,-0.43155992,412.09,0.84
278528,-0.44386056,409.36,0.83
294912,-0.35401094,399.69,0.84
311296,-0.5667141,414.13,0.8
327680,-0.6916637,430.56,0.77
344064,-0.28861016,392.31,0.82
360448,0.004340913,365.39,0.84
376832,0.077990964,355.27,0.85
393216,0.16114151,341.82,0.85
409600,-0.039659284,368.86,0.83
425984,-0.14545956,384.48,0.82
442368,0.22799313,347.05,0.87
458752,0.3757941,331.53,0.89
475136,0.5208941,313.88,0.9
491520,0.42794296,328.4,0.9
507904,0.118191026,361.12,0.86
524288,0.72754484,289.16,0.9
540672,0.62804395,300.83,0.88
557056,0.17289278,356.23,0.86
573440,0.047242478,370.48,0.87
589824,-0.18615983,391.08,0.84
606208,0.23684181,341.06,0.87
622592,0.23819143,336.31,0.85
638976,0.8850448,267.0,0.9
655360,1.3582976,216.98,0.97
671744,1.3030448,216.41,0.92
688128,1.1594954,238.81,0.92
704512,1.2860961,220.03,0.93
720896,0.83759356,269.25,0.87
737280,1.3448955,213.53,0.93
753664,1.6324474,177.63,0.95
770048,1.4932458,195.23,0.93
786432,1.7091479,172.23,0.96
802816,1.5633469,188.85,0.94
819200,1.9069487,149.22,0.98
835584,1.6728492,179.57,0.97
851968,1.9644989,142.61,0.97
868352,2.021449,137.28,0.98
884736,1.9610988,142.58,0.97
901120,1.7355983,171.39,0.96
917504,1.8713479,153.2,0.96
933888,2.2806504,108.63,1.0
950272,2.1423497,122.15,1.0
966656,2.0210984,134.25,0.97
983040,2.0627487,128.49,0.97
999424,2.0463984,130.28,0.97
1015808,2.0260491,133.14,0.98
1032192,2.2661998,104.25,0.99
1048576,2.1306503,122.81,0.99
1064960,2.3740497,90.5,0.99
1081344,2.2783997,104.57,0.99
1097728,2.346799,93.6,0.98
1114112,2.2891989,101.51,0.98
1130496,2.2291486,106.66,0.97
1146880,2.1209986,117.87,0.97
1163264,2.0405474,127.79,0.95
1179648,2.0902984,121.03,0.97
1196032,1.9067969,140.09,0.95
1212416,2.4419994,82.92,0.98
1228800,2.3878994,91.04,0.99
1245184,2.4486496,84.94,1.0
1261568,2.3871992,90.28,0.99
1277952,2.1319475,115.5,0.95
1294336,2.3987494,91.56,1.0
1310720,2.2715487,102.59,0.97
1327104,2.2771995,107.2,1.0
1343488,2.3689492,91.66,0.98
1359872,2.4438004,87.03,1.0
1376256,2.3400998,100.02,0.99
1392640,2.3797,96.04,1.0
1409024,2.4980497,77.85,0.99
1425408,2.3518496,98.45,0.99
1441792,2.375949,92.23,0.97
1458176,2.4573498,84.31,0.99
1474560,2.56885,69.57,1.0
1490944,2.4088488,85.43,0.97
1507328,2.4843988,78.62,0.98
1523712,2.5148997,75.43,0.99
1540096,2.57215,68.9,1.0
1556480,2.6146505,62.39,1.0
1572864,2.5694003,69.0,1.0
1589248,2.478599,76.46,0.99
1605632,2.5489495,71.82,1.0
1622016,2.61505,64.86,1.0
1638400,2.67195,56.82,1.0
1654784,2.2909486,103.8,0.97
1671168,2.6595001,58.73,1.0
1687552,2.5519996,70.78,0.99
1703936,2.5353994,73.36,0.99
1720320,2.5443504,72.61,1.0
1736704,2.6957502,52.59,1.0
1753088,2.4795496,81.34,0.99
1769472,2.4770494,80.46,0.98
1785856,2.55935,72.41,1.0
1802240,2.53855,72.47,0.99
1818624,2.5559494,69.64,0.99
1835008,2.7469497,45.78,1.0
1851392,2.5841498,66.94,0.99
1867776,2.6869004,54.03,1.0
1884160,2.5328496,71.95,0.99
1900544,2.5161,75.3,0.99
1916928,2.4702497,80.66,0.99
1933312,2.5556002,72.4,1.0
1949696,2.66305,57.49,1.0
1966080,2.68195,53.96,1.0
1982464,2.4914994,77.89,1.0
1998848,2.5259,75.75,1.0
2015232,2.4311993,85.07,0.98
2031616,2.6001,67.19,1.0
2048000,2.413449,89.12,0.97
2064384,2.361249,95.45,0.97
2080768,2.66855,54.72,1.0
2097152,2.5906997,67.55,0.99
2113536,2.7076004,50.95,1.0
2129920,2.356949,93.19,0.97
2146304,2.5462992,70.36,0.98
2162688,2.6281497,61.08,0.99
2179072,2.418949,85.81,0.97
2195456,2.5908003,66.23,1.0
2211840,2.6103995,64.63,1.0
2228224,2.5910494,65.12,0.99
2244608,2.6864,53.77,1.0
2260992,2.7365003,47.45,1.0
2277376,2.6520498,58.28,0.99
2293760,2.6764002,55.83,1.0
2310144,2.4541492,84.04,0.99
2326528,2.5621493,67.01,0.98
2342912,2.6269498,61.27,0.99
2359296,2.5382504,75.54,1.0
2375680,2.5176497,76.46,0.99
2392064,2.6143997,64.26,0.99
2408448,2.455199,82.41,0.97
2424832,2.5775995,66.04,0.98
2441216,2.6313996,59.75,0.99
2457600,2.6352994,60.7,0.99
2473984,2.7081504,51.58,1.0
2490368,2.6660497,55.78,0.99
2506752,2.7069998,49.89,0.99
2523136,2.5102994,77.1,0.98
2539520,2.6446998,58.92,0.99
2555904,2.5488997,71.35,0.98
2572288,2.6078498,64.86,0.99
2588672,2.6700995,55.59,0.99
2605056,2.530649,73.07,0.99
2621440,2.4798489,79.41,0.99
2637824,2.5921998,66.06,0.99
2654208,2.6671,56.81,1.0
2670592,2.6388004,61.07,1.0
2686976,2.5537496,70.98,0.99
2703360,2.74385,46.89,1.0
2719744,2.6063495,62.32,0.99
2736128,2.6887007,53.04,1.0
2752512,2.7653496,43.82,1.0
2768896,2.7037997,51.4,1.0
2785280,2.5614495,69.64,0.99
2801664,2.6531003,59.24,1.0
2818048,2.6520495,56.88,0.99
2834432,2.5912495,65.97,0.99
2850816,2.6384,60.87,1.0
2867200,2.5120494,74.04,0.98
2883584,2.6842,56.23,1.0
2899968,2.7221498,50.52,1.0
2916352,2.6836493,56.71,1.0
2932736,2.63615,60.45,0.99
2949120,2.7264001,51.08,1.0
2965504,2.5219991,75.64,0.98
2981888,2.5459495,72.67,0.98
2998272,2.4118986,87.51,0.96
3014656,2.7053497,51.42,0.99
3031040,2.6806502,56.93,1.0
3047424,2.6467996,59.97,0.99
3063808,2.5126493,76.95,0.98
3080192,2.4025497,94.17,0.99
3096576,2.510749,78.04,0.99
3112960,2.55755,72.91,1.0
3129344,2.6722496,58.07,0.99
3145728,2.69035,55.7,1.0
3162112,2.7263002,50.29,1.0
3178496,2.4495993,85.06,0.98
3194880,2.70125,54.9,1.0
3211264,2.7249503,49.95,1.0
3227648,2.5866,67.1,0.99
3244032,2.706,51.7,1.0
3260416,2.6742997,54.22,0.99
3276800,2.517549,74.01,0.98
3293184,2.5887496,64.07,0.99
3309568,2.5705993,68.58,0.98
3325952,2.7683506,45.9,1.0
3342336,2.7215,49.45,0.99
3358720,2.7709496,44.95,1.0
3375104,2.7043998,54.89,1.0
3391488,2.77455,45.03,1.0
3407872,2.68075,57.6,1.0
3424256,2.742,49.11,1.0
3440640,2.5775492,67.55,0.98
3457024,2.446649,86.07,0.98
3473408,2.6377993,61.02,0.98
3489792,2.5428495,74.8,0.98
3506176,2.5865993,68.28,0.98
3522560,2.5367498,74.89,0.99
3538944,2.6341505,63.39,1.0
3555328,2.6937497,55.43,0.99
3571712,2.6509504,62.62,1.0
3588096,2.7447,49.18,1.0
3604480,2.554799,74.08,1.0
3620864,2.5611494,69.76,0.98
3637248,2.6160996,65.5,0.99
3653632,2.6582496,59.2,0.99
3670016,2.7672994,46.86,1.0
3686400,2.6437497,62.86,0.99
3702784,2.7454505,48.57,1.0
3719168,2.5936494,67.94,0.99
3735552,2.4350991,88.58,0.98
3751936,2.64515,61.02,0.99
3768320,2.7426002,49.46,1.0
3784704,2.6246994,62.82,0.99
3801088,2.6640997,58.14,0.99
3817472,2.7557998,47.39,1.0
3833856,2.7213004,52.65,1.0
3850240,2.6946495,53.12,0.99
3866624,2.4661493,79.92,0.98
3883008,2.7877002,43.55,1.0
3899392,2.5231986,74.55,0.97
3915776,2.6627,58.11,0.99
3932160,2.6893494,55.15,0.99
3948544,2.6664498,61.07,1.0
3964928,2.7127,52.1,0.99
3981312,2.6424491,62.21,0.99
3997696,2.5717995,71.27,0.99
4014080,2.8189502,39.54,1.0
4030464,2.616299,64.54,0.99
4046848,2.562849,70.79,0.98
4063232,2.6320496,63.14,1.0
4079616,2.6904504,56.15,1.0
4096000,2.3668985,95.87,0.98
4112384,2.6089497,68.63,0.99
4128768,2.6928494,55.23,0.99
4145152,2.5063994,80.51,0.98
4161536,2.6547492,61.21,0.98
4177920,2.6887994,56.32,0.99
4194304,2.4112487,85.91,0.96
4210688,2.4725983,79.74,0.97
4227072,2.7073998,55.79,1.0
4243456,2.6639001,61.35,1.0
4259840,2.7488003,49.28,1.0
4276224,2.7596002,47.88,1.0
4292608,2.7093,54.01,1.0
4308992,2.5905497,66.73,0.99
4325376,2.6645994,60.78,0.99
4341760,2.6087492,62.84,0.98
4358144,2.6230497,65.17,0.99
4374528,2.7573996,45.55,0.99
4390912,2.6332493,62.58,0.98
4407296,2.7108,53.23,1.0
4423680,2.6372993,61.29,0.98
4440064,2.7448502,49.13,1.0
4456448,2.7405999,48.55,0.99
4472832,2.81915,39.37,1.0
4489216,2.774,46.32,1.0
4505600,2.6506991,60.88,0.98
4521984,2.7034497,53.69,0.99
4538368,2.612149,62.28,0.98
4554752,2.7225997,51.58,0.99
4571136,2.6756496,58.48,0.99
4587520,2.7666001,45.96,1.0
4603904,2.82475,38.03,1.0
4620288,2.7310495,50.6,0.99
4636672,2.549199,70.67,0.98
4653056,2.7932005,42.88,1.0
4669440,2.7923002,42.74,1.0
4685824,2.81845,39.72,1.0
4702208,2.6642992,57.11,0.98
4718592,2.7235994,51.46,0.99
4734976,2.7149498,52.23,0.99
4751360,2.83585,37.35,1.0
4767744,2.8463502,36.49,1.0
4784128,2.7714503,46.75,1.0
4800512,2.8045502,42.84,1.0
4816896,2.6478498,61.25,0.98
4833280,2.73515,50.95,1.0
4849664,2.6782997,56.73,0.99
4866048,2.6763494,57.42,0.98
4882432,2.8474002,36.53,1.0
4898816,2.6558998,60.28,0.99
4915200,2.7670503,46.32,1.0
4931584,2.4895988,78.59,0.97
4947968,2.7519,49.03,1.0
4964352,2.7934504,42.34,1.0
4980736,2.7174003,53.03,1.0
4997120,2.8035505,42.94,1.0
5013504,2.83865,38.17,1.0
5029888,2.7986498,43.91,1.0
5046272,2.7983003,42.81,1.0
5062656,2.7937996,44.14,1.0
5079040,2.7865,46.02,1.0
5095424,2.8457,38.28,1.0
5111808,2.7162497,53.94,0.99
5128192,2.7873502,45.4,1.0
5144576,2.7371993,50.42,0.99
5160960,2.7622492,47.45,0.99
5177344,2.8279498,39.94,1.0
5193728,2.8639503,34.98,1.0
5210112,2.8384,39.08,1.0
5226496,2.7923996,44.97,1.0
5242880,2.6892493,55.42,0.98
5259264,2.7807004,45.91,1.0
5275648,2.8137498,40.72,1.0
5292032,2.8043003,41.98,1.0
5308416,2.8702996,33.26,1.0
5324800,2.8149002,40.35,1.0
5341184,2.6949496,56.97,0.99
5357568,2.6998997,53.11,0.99
5373952,2.8080997,42.49,1.0
5390336,2.6230993,63.85,0.99
5406720,2.806,41.7,1.0
5423104,2.8358495,37.59,1.0
5439488,2.83485,39.06,1.0
5455872,2.8022003,41.96,1.0
5472256,2.8373,36.78,1.0
5488640,2.7681,46.43,1.0
5505024,2.7881002,42.99,1.0
5521408,2.7939498,43.36,1.0
5537792,2.6353498,63.7,0.99
5554176,2.7445996,48.38,1.0
5570560,2.7826502,44.55,1.0
5586944,2.7487495,47.64,0.99
5603328,2.8348997,37.36,1.0
5619712,2.8155503,40.53,1.0
5636096,2.7891,43.58,1.0
5652480,2.6984494,55.01,0.99
5668864,2.7169,52.21,1.0
5685248,2.7949996,42.45,1.0
5701632,2.7742496,44.39,0.99
5718016,2.8725502,33.51,1.0
5734400,2.7899003,44.19,1.0
5750784,2.7357495,49.87,0.99
5767168,2.7699494,45.41,0.99
5783552,2.8231504,39.2,1.0
5799936,2.8210998,40.29,1.0
5816320,2.8419998,36.59,1.0
5832704,2.7471998,49.09,0.99
5849088,2.8584504,35.26,1.0
5865472,2.833,37.95,1.0
5881856,2.8312,38.57,1.0
5898240,2.7505002,49.25,1.0
5914624,2.8492506,35.16,1.0
5931008,2.8340502,36.82,1.0
5947392,2.8251505,39.53,1.0
5963776,2.8412504,37.42,1.0
5980160,2.7911005,44.36,1.0
5996544,2.7491498,48.93,1.0
6012928,2.7805002,44.2,1.0
6029312,2.7599494,46.02,0.99
6045696,2.6284995,62.18,0.98
6062080,2.7656503,47.44,1.0
6078464,2.6124995,63.91,0.98
6094848,2.7714503,45.95,1.0
6111232,2.8215504,41.24,1.0
6127616,2.7146003,55.49,1.0
6144000,2.72225,52.54,1.0
6160384,2.83935,36.41,1.0
6176768,2.86065,34.05,1.0
6193152,2.6616004,59.23,0.99
6209536,2.85715,35.36,1.0
6225920,2.7946503,43.13,1.0
6242304,2.7662497,45.06,0.99
6258688,2.883,31.99,1.0
6275072,2.81805,40.45,1.0
6291456,2.8177502,40.56,1.0
6307840,2.7640994,45.59,0.99
6324224,2.81415,41.45,1.0
6340608,2.7839997,42.74,0.99
6356992,2.8541498,35.95,1.0
6373376,2.6844993,55.44,0.98
6389760,2.610649,65.65,0.99
6406144,2.7964501,43.36,1.0
6422528,2.7658503,47.59,1.0
6438912,2.7300506,51.32,1.0
6455296,2.6595495,60.23,0.99
6471680,2.8528504,35.55,1.0
6488064,2.83775,38.26,1.0
6504448,2.80475,42.82,1.0
6520832,2.7598999,46.75,1.0
6537216,2.6750498,58.61,0.99
6553600,2.7308495,50.43,0.99
6569984,2.8296003,38.49,1.0
6586368,2.88155,32.83,1.0
6602752,2.8900504,32.03,1.0
6619136,2.8341002,38.64,1.0
6635520,2.82365,39.5,1.0
6651904,2.8643003,34.27,1.0
6668288,2.8353002,39.59,1.0
6684672,2.7647996,47.82,0.99
6701056,2.8508005,36.48,1.0
6717440,2.7453995,49.8,0.99
6733824,2.8118,41.57,1.0
6750208,2.6622498,61.18,1.0
6766592,2.7217999,53.49,1.0
6782976,2.6617994,58.14,0.98
6799360,2.6314497,65.81,0.99
6815744,2.7897995,42.1,0.99
6832128,2.8744001,32.84,1.0
6848512,2.7955499,43.81,1.0
6864896,2.6660495,58.06,0.98
6881280,2.7449994,49.44,0.99
6897664,2.78955,44.35,1.0
6914048,2.7240996,53.77,0.99
6930432,2.7802503,44.79,1.0
6946816,2.8677497,34.5,1.0
6963200,2.8355997,39.24,1.0
